アイドル名,声優名,事務所,事務所ユニット,作品名
櫻木 真乃,関根 瞳,283プロ,,THE IDOLM@STER Shiny Colors
風野 灯織,近藤 玲奈,283プロ,,THE IDOLM@STER Shiny Colors
八宮 めぐる,峯田 茉優,283プロ,,THE IDOLM@STER Shiny Colors
月岡 恋鐘,礒部 花凛,283プロ,,THE IDOLM@STER Shiny Colors
田中 摩美々,菅沼 千紗,283プロ,,THE IDOLM@STER Shiny Colors
三峰 結華,成海 瑠奈,283プロ,,THE IDOLM@STER Shiny Colors
白瀬 咲耶,八巻 アンナ,283プロ,,THE IDOLM@STER Shiny Colors
幽谷 霧子,結名 美月,283プロ,,THE IDOLM@STER Shiny Colors
大崎 甘奈,黒木 ほの香,283プロ,,THE IDOLM@STER Shiny Colors
桑山 千雪,芝崎 典子,283プロ,,THE IDOLM@STER Shiny Colors
大崎 甜花,前川 涼子,283プロ,,THE IDOLM@STER Shiny Colors
小宮 果穂,河野 ひより,283プロ,,THE IDOLM@STER Shiny Colors
園田 智代子,白石 晴香,283プロ,,THE IDOLM@STER Shiny Colors
有栖川 夏葉,涼本 あきほ,283プロ,,THE IDOLM@STER Shiny Colors
西城 樹里,永井 真里子,283プロ,,THE IDOLM@STER Shiny Colors
杜野 凛世,丸岡 和佳奈,283プロ,,THE IDOLM@STER Shiny Colors
