アイドル名,声優名,事務所,事務所ユニット,作品名
日高 愛,戸松 遥,876プロ,,THE IDOLM@STER Dearly Stars
水谷 絵理,花澤 香菜,876プロ,,THE IDOLM@STER Dearly Stars
秋月 涼,三瓶 由布子,876プロ,,THE IDOLM@STER Dearly Stars
