アイドル名,声優名,事務所,事務所ユニット,作品名
島村 卯月,大橋 彩香,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
渋谷 凛,福原 綾香,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
本田 未央,原 紗友里,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
双葉 杏,五十嵐 裕美,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
三村 かな子,大坪 由佳,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
高垣 楓,早見 沙織,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
城ヶ崎 莉嘉,山本 希望,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
神崎 蘭子,内田 真礼,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
前川 みく,高森 奈津美,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
諸星 きらり,松嵜 麗,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
城ヶ崎 美嘉,佳村 はるか,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
小日向 美穂,津田 美波,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
多田 李衣菜,青木 瑠璃子,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
十時 愛梨,原田 ひとみ,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
川島 瑞樹,東山 奈央,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
日野 茜,赤﨑 千夏,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
赤城 みりあ,黒沢 ともよ,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
