アイドル名,声優名,事務所,事務所ユニット,作品名
塩見周子,ルゥティン,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
相葉夕美,木村珠莉,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
一ノ瀬志希,藍原ことみ,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
向井拓海,原優子,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
道明寺歌鈴,新田ひより,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
木村夏樹,安野希世乃,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
上田鈴帆,春野ななみ,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
浜口あやめ,田澤茉純,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
脇山珠美,嘉山未紗,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
難波笑美,伊達朱里紗,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
龍崎薫,春瀬なつみ,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
櫻井桃華,照井春佳,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
松永涼,千菅春香,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
二宮飛鳥,青木志貴,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
五十嵐響子,種﨑敦美,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
三船美優,原田彩楓,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
森久保乃々,高橋花林,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
佐藤心,花守ゆみり,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
依田芳乃,高田憂希,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
乙倉悠貴,中島由貴,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
早坂美玲,朝井彩加,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
藤原肇,鈴木みのり,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
喜多見柚,武田羅梨沙多胡,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
関裕美,会沢紗弥,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
荒木比奈,田辺留依,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
村上巴,花井美春,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
棟方愛海,藤本彩花,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
結城晴,小市眞琴,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
春日未来,山崎はるか,765プロ,MILLIONSTARS,THE IDOLM@STER MILLION LIVE!
最上静香,田所あずさ,765プロ,MILLIONSTARS,THE IDOLM@STER MILLION LIVE!
伊吹翼,Machico,765プロ,MILLIONSTARS,THE IDOLM@STER MILLION LIVE!
木下ひなた,田村奈央,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
ジュリア,愛美,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
高山紗代子,駒形友梨,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
田中琴葉,種田梨沙,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
天空橋朋花,小岩井ことり,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
箱崎星梨花,麻倉もも,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
松田亜利沙,村川梨衣,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
望月杏奈,夏川椎菜,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
矢吹可奈,木戸衣吹,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
エミリー,郁原ゆう,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
大神環,稲川英里,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
北上麗花,平山笑美,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
高坂海美,上田麗奈,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
佐竹美奈子,大関英里,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
島原エレナ,角元明日香,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
永吉昴,斉藤佑圭,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
野々原茜,小笠原早紀,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
馬場このみ,高橋未奈美,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
福田のり子,浜崎奈々,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
舞浜歩,戸田めぐみ,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
真壁瑞希,阿部里果,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
百瀬莉緒,山口立花子,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
横山奈緒,渡部優衣,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
北沢志保,雨宮天,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
篠宮可憐,近藤唯,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
周防桃子,渡部恵子,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
徳川まつり,諏訪彩花,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
所恵美,藤井ゆきよ,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
豊川風花,末柄里恵,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
中谷育,原嶋あかり,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
七尾百合子,伊藤美来,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
二階堂千鶴,野村香菜子,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
ロコ,中村温姫,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
宮尾美也,桐谷蝶々,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
白石紬,南早紀,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
桜守歌織,香里有佐,765プロ,765PRO ALLSTARS,THE IDOLM@STER MILLION LIVE!
天道輝,仲村宗悟,315プロ,,THE IDOLM@STER SideM
桜庭薫,内田雄馬,315プロ,,THE IDOLM@STER SideM
柏木翼,八代拓,315プロ,,THE IDOLM@STER SideM
天ヶ瀬冬馬,寺島拓篤,315プロ,,THE IDOLM@STER SideM
伊集院北斗,神原大地,315プロ,,THE IDOLM@STER SideM
御手洗翔太,松岡禎丞,315プロ,,THE IDOLM@STER SideM
鷹城恭二,梅原裕一郎,315プロ,,THE IDOLM@STER SideM
ピエール,堀江瞬,315プロ,,THE IDOLM@STER SideM
渡辺みのり,高塚智人,315プロ,,THE IDOLM@STER SideM
秋山隼人,千葉翔也,315プロ,,THE IDOLM@STER SideM
冬美旬,永塚拓馬,315プロ,,THE IDOLM@STER SideM
榊夏来,渡辺紘,315プロ,,THE IDOLM@STER SideM
若里春名,白井悠介,315プロ,,THE IDOLM@STER SideM
伊瀬谷四季,野上翔,315プロ,,THE IDOLM@STER SideM
蒼井悠介,菊池勇成,315プロ,,THE IDOLM@STER SideM
蒼井亨介,山谷祥生,315プロ,,THE IDOLM@STER SideM
硲道夫,伊東健人,315プロ,,THE IDOLM@STER SideM
舞田類,榎木淳弥,315プロ,,THE IDOLM@STER SideM
山下次郎,中島ヨシキ,315プロ,,THE IDOLM@STER SideM
猫柳キリオ,山下大輝,315プロ,,THE IDOLM@STER SideM
華村翔真,バレッタ裕,315プロ,,THE IDOLM@STER SideM
清澄九郎,中田祐矢,315プロ,,THE IDOLM@STER SideM
握野英雄,熊谷健太郎,315プロ,,THE IDOLM@STER SideM
木村龍,濱健人,315プロ,,THE IDOLM@STER SideM
